meeting	900	4494926
impossible	1250	4479294
acts	1350	4479049
colour	1250	4463178
motion	1350	4462749
remained	1375	4461495
determined	1490	4449484
dark	1000	4446917
college	1350	4440642
below	1	4435739
beginning	1000	4433085
thomas	0	4430036
progress	1400	4425902
reached	900	4425711
sound	1250	4420431
paris	0	4416906
middle	900	4395054
military	1575	4393114
drawn	900	4380828
daughter	950	4369772
miss	900	4354975
remain	1375	4353037
nations	1250	4352429
usually	1350	4347946
sin	900	4345017
herself	1	4341773
facts	1530	4333565
danger	1175	4322113
rich	900	4310778
native	1325	4302491
re	0	4301304
ship	900	4297746
study	1250	4273189
forward	900	4269096
wood	900	4264596
happy	1150	4263692
gentleman	1175	4256434
arrived	1175	4254094
attempt	1350	4248262
capital	1175	4247146
inhabitants	1400	4242172
names	900	4237781
minister	1250	4227981
follow	900	4226303
ill	1150	4218250
difficulty	1350	4217721
quantity	1250	4215170
trees	900	4211856
disease	1300	4204100
peculiar	1400	4200822
wrote	900	4196047
heat	900	4196003
looking	900	4194576
weight	1000	4191817
becomes	900	4190134
scarcely	1250	4175174
beauty	1225	4168977
plan	1670	4164058
edition	1545	4162610
sort	1200	4161868
price	1175	4159071
usual	1350	4158398
applied	1490	4153262
centre	1325	4152694
consider	1350	4151092
bad	901	4147017
distinguished	1600	4132414
difference	1300	4128900
lead	900	4128526
education	1525	4126248
contrary	1200	4123331
help	900	4108035
covered	1200	4106001
title	950	4101386
else	1000	4091269
noble	1175	4084783
proved	1125	4083782
remains	1375	4082294
necessity	1325	4073272
civil	1350	4071840
food	900	4067213
orders	1175	4067047
intended	1250	4065884
difficult	1350	4063475
process	1275	4055094
objects	1325	4054168
somewhat	1150	4043485
r	0	4039307
advantage	1300	4036528
mass	0	4034244
highest	900	4024024
plain	1250	4022059
lived	1350	4009918
causes	1175	4008439
husband	1000	4005791
lands	900	4003388
individual	1375	4003188
bank	0	3997107
relation	1350	3996009
rise	1000	3993776
fixed	1350	3989745
remarkable	1625	3978965
equally	1350	3978359
affairs	1250	3968876
glory	1300	3964873
comes	900	3956400
die	900	3951587
otherwise	900	3951506
etc	1100	3940203
increase	1275	3930947
upper	900	3930508
connexion	1350	3929433
fully	900	3928304
rights	900	3927520
parties	1250	3925385
method	1375	3925087
duties	1250	3925051
spiritual	1275	3911094
presented	1250	3901559
understand	900	3898921
grand	1350	3884302
direct	1325	3874854
expression	1425	3873992
connected	1400	3869682
report	1325	3866298
built	1150	3858722
particularly	1350	3856336
increased	1275	3841237
section	1550	3830183
green	900	3830004
front	1250	3828912
consideration	1350	3822345
filled	900	3819803
visit	1175	3819124
term	1175	3815341
prepared	1520	3815247
committee	1425	3814967
replied	1350	3809925
opposite	1350	3809497
pope	900	3805193
lie	900	3804185
carry	1275	3799122
bed	1000	3797757
virtue	1175	3788605
removed	1540	3788089
doing	900	3787259
prove	1125	3784613
cross	1000	3780858
bound	1000	3779526
greek	0	3775914
hill	1000	3771235
provided	1375	3771033
volume	1350	3759513
easy	1150	3754491
building	1150	3753186
matters	1175	3752393
hardly	900	3743779
health	1000	3734203
passing	1175	3729009
member	1250	3722040
silver	900	3720067
race	0	3712144
declared	1645	3711674
ad	0	3706318
congress	1520	3705055
description	1300	3701011
co	0	3688005
rev	0	3683633
ourselves	1	3680593
fellow	1050	3678260
earl	900	3677390
twelve	900	3677073
animal	1300	3674369
expected	1560	3672282
writing	900	3669370
fifty	900	3660221
june	1050	3659381
sides	900	3658101
coast	1325	3652440
series	1605	3651876
page	1580	3638846
results	1375	3637566
stated	1175	3636599
bodies	900	3634414
empire	1250	3631371
thoughts	900	3625768
proportion	1350	3618733
effects	1350	3610719
exercise	1300	3609839
marriage	1250	3608493
walls	900	3606165
mountains	1175	3605036
animals	1300	3604438
conditions	1275	3602985
style	1250	3600119
greatly	900	3599172
ask	900	3596076
engaged	1605	3595317
size	1250	3594758
piece	1175	3591833
enter	1200	3587437
attack	1590	3585557
mouth	900	3584896
opened	900	3577107
prevent	1375	3576344
india	0	3574800
space	1250	3574094
broken	900	3573329
ideas	1430	3568256
wild	900	3567482
follows	900	3566887
throughout	1	3565527
post	0	3562311
interesting	1225	3562282
sum	1250	3558911
rose	900	3554990
pure	1250	3554966
ago	1000	3543394
saying	900	3543004
regarded	1350	3541736
discovered	1250	3538486
july	1050	3537909
colonel	1550	3535220
vessels	1250	3531643
soldiers	1250	3531623
spring	900	3530658
meaning	900	3528332
tree	900	3528115
scene	1530	3521396
indian	0	3517084
concerning	1375	3516923
strange	1250	3515846
paul	0	3511626
proposed	1300	3508379
village	1400	3507407
offered	900	3505692
obliged	1250	3503392
forty	950	3496367
superior	1350	3489753
